id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,related_events,match_id,possession_team_id,team_id,player_id,under_pressure,ball_receipt_outcome
850930df-dcba-478c-a429-f5d0e3f891e5,6,1,00:00:01.429,0,1,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[50.8, 38.4]",['470b5061-2676-4fff-95ce-5a411f01a490'],3939977,779,779,27886,,
21b03fc1-f7a6-4def-99ee-a60056a3ee23,9,1,00:00:03.693,0,3,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Rodrigo Javier De Paul,Right Midfield,"[49.0, 49.3]",['afbb20b2-6fcc-466c-8bf6-2f605a0d8a69'],3939977,779,779,7797,,
5f01133b-17d2-4b5e-9148-7fece7092124,12,1,00:00:05.646,0,5,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Cristian Gabriel Romero,Right Center Back,"[30.9, 52.8]",['c44c5eba-cdaa-45f6-a27c-9fd52b5f9a94'],3939977,779,779,20572,,
86378313-0828-459c-a514-49d80cc3b088,16,1,00:00:08.461,0,8,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Rodrigo Javier De Paul,Right Midfield,"[44.1, 54.3]",['bf5e1996-5fd7-499d-b5aa-cce2d64497f6'],3939977,779,779,7797,,
4479366b-7714-4707-9846-7ec4065a67db,18,1,00:00:10.299,0,10,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Lisandro Martínez,Left Center Back,"[25.3, 26.0]",['611a6643-c209-4a87-a81d-031b07ad60bb'],3939977,779,779,27768,,
7c8c3c24-ccdb-4e5c-b018-da177e66408a,21,1,00:00:17.234,0,17,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Cristian Gabriel Romero,Right Center Back,"[35.4, 48.1]",['37aaada6-f2ec-4642-bc00-f6a8a9703e22'],3939977,779,779,20572,,
8f76e2c6-962d-47fd-97dc-93af5e72c8a3,24,1,00:00:20.197,0,20,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[54.6, 42.7]",['ffed7a5d-3672-478b-bd3a-f21461b90495'],3939977,779,779,27886,,
a3dca1b5-721f-4f43-a982-62dfb3b56f62,27,1,00:00:22.197,0,22,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Julián Álvarez,Left Center Forward,"[68.9, 47.2]",['b7ab7605-fd4e-4de7-bcfd-a30534048dac'],3939977,779,779,29560,,
0f2f9d9f-417a-4ba4-bc03-132f90e72976,31,1,00:00:23.118,0,23,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[68.1, 57.5]","['380a8ae6-8c5f-42d0-895d-572df94f82d7', 'fa9b4d09-5c1d-4ce4-ae7d-bc405569ce5a']",3939977,779,779,5503,True,
68acca88-7900-4e0d-a58c-921fb95ad4bd,34,1,00:00:23.774,0,23,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Rodrigo Javier De Paul,Right Midfield,"[63.4, 57.3]",['96552249-dbaa-4656-abd6-bfe18820c1eb'],3939977,779,779,7797,,
a98ccc29-f8fe-4251-a8c2-319d3ef02980,37,1,00:00:25.935,0,25,Ball Receipt*,2,Argentina,From Kick Off,Argentina,Nahuel Molina Lucero,Right Back,"[74.1, 74.4]",['4bf9ef76-4fa3-4103-84ac-f55cc9ee2594'],3939977,779,779,29201,,
