id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,off_camera,foul_won_advantage,foul_won_defensive
169adbc3-57bc-487c-996b-8b27a70f1bb4,162,1,00:02:16.293,2,16,Foul Won,4,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[39.5, 17.7]",0.0,True,['bf5ee7a3-c4b7-4fcb-9f97-e7ef2380857b'],3939977,779,779,38718,,,
f9d0ef39-ad97-49ff-bc87-cd33af61a6ad,501,1,00:11:07.636,11,7,Foul Won,16,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[58.2, 19.2]",0.0,True,['c2c8bae8-1784-47f0-82c3-c24930f09a7e'],3939977,779,779,38718,,,
aaaa1804-512d-4448-b357-ebc81e3d1c82,1074,1,00:23:48.689,23,48,Foul Won,40,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[51.0, 75.0]",0.0,True,['c64e91b3-11a5-4c68-96b0-2df9fbd6f7f9'],3939977,779,779,5503,,,
a0cee1ad-cd78-43b9-8dc9-ed84eea49d21,1132,1,00:25:54.769,25,54,Foul Won,42,Chile,From Goal Kick,Chile,Eduardo Jesús Vargas Rojas,Center Forward,"[49.2, 16.2]",0.0,True,"['13a052be-ec3d-4d1c-abe2-a5c733d63624', 'f7d454d1-f77e-418b-9f40-811a0fd97173']",3939977,3562,3562,27317,,,
290cb695-46f5-4e7d-93e4-2ff6e60010c6,1413,1,00:33:36.765,33,36,Foul Won,61,Chile,Regular Play,Chile,Alexis Alejandro Sánchez Sánchez,Center Attacking Midfield,"[49.6, 53.8]",0.0,True,['1793701a-fb13-464f-9568-61e2e44c48d7'],3939977,3562,3562,3385,,,
533bef83-3832-45fd-bfd9-7c7873ebab70,1558,1,00:36:06.188,36,6,Foul Won,64,Chile,From Goal Kick,Chile,Alexis Alejandro Sánchez Sánchez,Center Attacking Midfield,"[42.8, 18.6]",0.0,True,"['63847343-5c7c-41f0-bed3-1387650379b8', 'ff652ff1-d03f-4bf5-8e39-cef629ae8711']",3939977,3562,3562,3385,,,
cb15b88b-d831-452e-8be5-da4a60e48ca5,1670,1,00:39:28.889,39,28,Foul Won,69,Chile,From Goal Kick,Chile,Alexis Alejandro Sánchez Sánchez,Center Attacking Midfield,"[40.3, 26.7]",0.0,True,['cfc2fdcc-248f-41b1-84c5-57547c659f87'],3939977,3562,3562,3385,True,,
0695b10b-43f5-469d-854c-f5070070e3f0,1747,1,00:40:31.014,40,31,Foul Won,71,Argentina,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[88.6, 4.9]",0.0,True,['b03b4a11-52b8-4b82-8177-4afa3d36a5d9'],3939977,779,779,5507,,,
b4dec416-01a8-4025-93b0-53f8c8e26c3b,1784,1,00:42:04.659,42,4,Foul Won,74,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[54.9, 52.3]",0.0,True,"['56ef1855-c724-490e-9e96-0fd8fe35792c', '98b81255-a1c0-4fcd-9ec5-321c2ccc2c1b']",3939977,779,779,5503,,True,
2f033889-6679-4c51-bbda-26016b1b6182,1856,1,00:42:39.248,42,39,Foul Won,77,Chile,Regular Play,Chile,Eduardo Jesús Vargas Rojas,Center Forward,"[39.9, 53.2]",0.0,True,"['1b9402e9-290b-4158-a7d0-e34338a86402', '37501795-1bb2-46c7-a798-362a98eebea5']",3939977,3562,3562,27317,,,
3057eafd-a123-4fd1-9430-c0bbd36583d7,2086,2,00:00:25.975,45,25,Foul Won,90,Argentina,Regular Play,Argentina,Nicolás Iván González,Left Midfield,"[12.7, 8.5]",0.0,True,['cba2da64-9f74-4bc9-9475-8649e445f3bb'],3939977,779,779,20687,,,
1e0e2234-aed0-4153-bb6f-47e642aed731,2340,2,00:07:37.013,52,37,Foul Won,103,Chile,Regular Play,Chile,Víctor Alejandro Dávila Zavala,Left Wing,"[85.4, 28.1]",0.0,True,"['0e2d9bba-da91-46e4-b4f7-9cb209cfb388', '3687bb11-1cb1-4eaa-beac-234e8fd154ea']",3939977,3562,3562,30944,,,
28a1829e-3471-44a6-b237-abc47d3ec5b4,2353,2,00:08:42.326,53,42,Foul Won,106,Chile,Regular Play,Chile,Darío Esteban Osorio Osorio,Right Wing,"[33.9, 73.7]",0.0,True,"['3e12da54-74c8-4960-ba90-92eb8979ed18', 'e69f685c-c271-4e61-b187-90b2038429ad']",3939977,3562,3562,204925,True,,
