id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id,foul_won_advantage,foul_won_defensive,off_camera
4e567183-885d-4c56-a5c0-976cad3943b4,51,1,00:00:54.707,0,54,Foul Won,2,Argentina,From Kick Off,Argentina,Rodrigo Javier De Paul,Right Midfield,"[38.8, 76.9]",0.0,True,"['3b56086c-15e3-4c2b-b111-9cb0ff33b4d4', '6d0163dd-f9e7-4806-9dad-62a168c68e48']",3942228,779,779,7797,,,
f54f4c16-e122-492b-8a0e-63c4faea4e7f,212,1,00:04:05.391,4,5,Foul Won,6,Argentina,From Throw In,Argentina,Nicolás Iván González,Left Midfield,"[81.6, 3.6]",0.0,True,"['a7d94214-05cb-4f44-bf18-380bf6f37926', 'b08d3205-16b0-4c0b-97ae-0c40e7875c6c']",3942228,779,779,20687,True,,
335b4378-cedd-4731-b63a-7f75384c5e7a,410,1,00:09:22.611,9,22,Foul Won,20,Argentina,Regular Play,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[72.0, 51.9]",0.0,True,['dc29f3a7-1c6e-4190-835c-0ec2271e2272'],3942228,779,779,27886,,True,
9a4b62ec-3df8-4b07-b7f3-5f5433a83a47,622,1,00:15:19.132,15,19,Foul Won,33,Ecuador,From Throw In,Ecuador,Moisés Isaac Caicedo Corozo,Center Attacking Midfield,"[64.6, 61.0]",0.0,True,['0e53d15b-8a68-4651-8867-2832ab11ce22'],3942228,3565,3565,37726,,True,
a72aa63f-2384-4a25-9fd2-0d582b1a2798,725,1,00:18:30.536,18,30,Foul Won,38,Argentina,Regular Play,Argentina,Nahuel Molina Lucero,Right Back,"[51.6, 43.3]",0.0,True,['20b5e0fb-e728-48dd-a004-f20c03360e11'],3942228,779,779,29201,,,
72e50563-cf9b-4703-8d6a-a3a17df4a21d,862,1,00:21:19.715,21,19,Foul Won,41,Argentina,From Throw In,Ecuador,Enner Remberto Valencia Lastra,Center Forward,"[35.8, 23.6]",0.0,True,"['8c6458db-7831-44dd-b180-9f26bae719a3', 'a67e14dd-fe44-4ddb-9a35-71f92402534a']",3942228,779,3565,28559,,True,
b3932680-4ac5-4e48-8f50-fec37e5444d0,923,1,00:23:33.336,23,33,Foul Won,44,Ecuador,Regular Play,Ecuador,Moisés Isaac Caicedo Corozo,Center Attacking Midfield,"[64.4, 49.0]",0.0,True,"['309df036-426a-43cc-a1a3-7b8abed1eaa8', '369bd8b2-9f4b-4bdb-adde-8eb4fd9e4daf']",3942228,3565,3565,37726,True,,
e5c981b7-8c79-40e8-9b30-519b513a6bba,1137,1,00:29:14.183,29,14,Foul Won,52,Argentina,Regular Play,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[58.7, 28.5]",0.0,True,['4c6f7c8b-62f2-471a-943d-99139db1cd3b'],3942228,779,779,27886,,,
a46bfc9c-e09b-4dee-b4b5-cc9065c18bf3,1144,1,00:29:23.467,29,23,Foul Won,53,Argentina,From Free Kick,Argentina,Alexis Mac Allister,Right Defensive Midfield,"[57.0, 25.9]",0.0,True,['56c56722-48bf-46cc-9b1c-89dcdcafafef'],3942228,779,779,27886,,True,
219bd049-0370-4176-9ac3-80b258bfa01e,1363,1,00:37:02.743,37,2,Foul Won,64,Argentina,From Throw In,Argentina,Lautaro Javier Martínez,Left Center Forward,"[68.4, 71.1]",0.0,True,['62fad0a6-3bb7-4b6d-9d97-6db564eabc42'],3942228,779,779,11456,,True,
