id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_body_part,pass_type,possession_team_id,team_id,player_id,pass_recipient_id,pass_outcome,under_pressure,pass_switch,counterpress,off_camera,pass_inswinging,pass_technique,pass_assisted_shot_id,pass_shot_assist,pass_cross,pass_through_ball,pass_aerial_won,pass_goal_assist,pass_outswinging,pass_miscommunication,pass_no_touch,pass_cut_back
358b9cd1-3632-4b59-9ec8-168c21e34a89,5,1,00:00:00.887,0,0,Pass,2,Canada,From Kick Off,Canada,Jonathan David,Right Center Forward,"[60.0, 40.0]",0.806634,['85a88e8a-1891-4dc1-a8c1-c8d5f686be29'],3942785,Cyle Larin,3.6055512,-0.33929262,Ground Pass,"[63.4, 38.8]",Right Foot,Kick Off,1833,1833,23640,16459.0,,,,,,,,,,,,,,,,,
59a203c1-5770-4514-bdea-6d0dad246eba,7,1,00:00:01.693,0,1,Pass,2,Canada,From Kick Off,Canada,Cyle Larin,Left Center Forward,"[63.2, 39.2]",0.983802,['2a49e08a-dc89-43ba-9f66-e4ffab9ab1e7'],3942785,Jacob Shaffelburg,19.340372,-1.2932069,Ground Pass,"[68.5, 20.6]",Right Foot,,1833,1833,16459,26152.0,,,,,,,,,,,,,,,,,
f3b6eb90-770f-496b-ad83-0e30973b096e,10,1,00:00:05.020,0,5,Pass,3,Argentina,Regular Play,Argentina,Gonzalo Ariel Montiel,Right Back,"[39.7, 77.2]",0.916925,['0de642e2-f5f8-4f5c-84a5-f6e76ea03fde'],3942785,Rodrigo Javier De Paul,8.121576,-1.744042,Ground Pass,"[38.3, 69.2]",Right Foot,Recovery,779,779,28263,7797.0,,,,,,,,,,,,,,,,,
f6fff3ed-6360-49c4-afdf-6db439e87789,13,1,00:00:06.384,0,6,Pass,3,Argentina,Regular Play,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[38.8, 67.0]",1.13528,['1f9a2920-0e32-46e3-8481-a5ae46c42077'],3942785,Cristian Gabriel Romero,15.22268,-2.4073126,Ground Pass,"[27.5, 56.8]",Right Foot,,779,779,7797,20572.0,,,,,,,,,,,,,,,,,
42f475f9-8c4d-43b8-88e4-51836ccf5ee1,16,1,00:00:09.515,0,9,Pass,3,Argentina,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[27.5, 57.0]",1.108162,['67b96b80-2e46-4bd7-a760-1187ce25f819'],3942785,Lisandro Martínez,31.476976,-1.6407458,Ground Pass,"[25.3, 25.6]",Right Foot,,779,779,20572,27768.0,,,,,,,,,,,,,,,,,
be3be71a-e769-47f6-9020-b1a5878af21c,19,1,00:00:13.023,0,13,Pass,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[26.4, 25.1]",0.840186,['839a299c-e6c8-40c7-b660-d3e586df68b4'],3942785,Enzo Fernandez,8.570297,0.97632134,Ground Pass,"[31.2, 32.2]",Left Foot,,779,779,27768,38718.0,,,,,,,,,,,,,,,,,
9ecee79f-f6da-42f4-929e-f0e8c6a7e44d,21,1,00:00:13.863,0,13,Pass,3,Argentina,Regular Play,Argentina,Enzo Fernandez,Left Defensive Midfield,"[32.1, 34.4]",1.125645,['0305e54f-249e-4454-8192-ce813eaf284f'],3942785,Lisandro Martínez,9.123596,-2.0246403,Ground Pass,"[28.1, 26.2]",Right Foot,,779,779,38718,27768.0,,,,,,,,,,,,,,,,,
71e48203-e938-4c30-8be0-4df03da2aebf,24,1,00:00:16.589,0,16,Pass,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[26.8, 26.2]",0.98545,['7f78b96f-5bf4-4864-80bc-3809fbab2f30'],3942785,Nicolás Alejandro Tagliafico,19.859507,-1.2426764,Ground Pass,"[33.2, 7.4]",Right Foot,,779,779,27768,5507.0,,,,,,,,,,,,,,,,,
1f648108-113c-483b-b1a4-a0d03734d427,27,1,00:00:19.175,0,19,Pass,3,Argentina,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[33.2, 7.4]",1.006552,['739ad576-eac0-40fc-a8ba-fd8009472b2d'],3942785,Lisandro Martínez,21.520456,2.207792,Ground Pass,"[20.4, 24.7]",Left Foot,,779,779,5507,27768.0,,,,,,,,,,,,,,,,,
94d73ed2-11fd-4545-bafb-8f92d33a8c01,30,1,00:00:21.381,0,21,Pass,3,Argentina,Regular Play,Argentina,Lisandro Martínez,Left Center Back,"[21.7, 25.3]",2.399998,['cdc1c603-1bc9-46a2-ba1c-65e61e5d43cd'],3942785,Cristian Gabriel Romero,36.200554,1.5763211,Ground Pass,"[21.5, 61.5]",Left Foot,,779,779,27768,20572.0,,,,,,,,,,,,,,,,,
e38c769a-604f-46b0-808c-c36280ca4c65,33,1,00:00:27.343,0,27,Pass,3,Argentina,Regular Play,Argentina,Cristian Gabriel Romero,Right Center Back,"[27.0, 60.8]",2.102989,['f4d0bf1f-d433-490a-88be-24233b65ff3b'],3942785,Lisandro Martínez,34.6,-1.5707964,Ground Pass,"[27.0, 26.2]",Right Foot,,779,779,20572,27768.0,,,,,,,,,,,,,,,,,
