Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Brenden Aaronson,DL,us United States,23,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Luis Abram,DF,pe Peru,27,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Marcos Acuña,DF,ar Argentina,32,1991,1.1,2,1.87,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Tyler Adams,CC,us United States,24,1999,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Luis Advíncula,DF,pe Peru,33,1990,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Brandon Aguilera,CC,cr Costa Rica,20,2003,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ali Ahmed,"DL,DF",ca Canada,23,2000,1.5,7,4.81,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Josimar Alcocer,"DL,CC",cr Costa Rica,19,2004,1.0,1,0.98,0,0,1,0,0,0,1,0.98,0,0,1,0,0,0,Partidos
Omar Alderete,DF,py Paraguay,27,1996,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0,Partidos
Carmelo Algarañaz,DL,bo Bolivia,28,1996,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alisson,PO,br Brazil,31,1992,4.0,1,0.25,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Miguel Almirón,DL,py Paraguay,29,1994,2.0,7,3.50,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Roberto Alvarado,DL,mx Mexico,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Edson Álvarez,CC,mx Mexico,26,1997,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Julián Álvarez,DL,ar Argentina,24,2000,3.8,6,1.57,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Michael Amir Murillo,DF,pa Panama,27,1996,3.5,9,2.57,6,0,2,0,1,0,1,0.29,0,0,1,0,0,0,Partidos
Karoy Anderson,CC,jm Jamaica,19,2004,0.3,1,2.90,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Kervin Andrade,CC,ve Venezuela,18,2005,0.2,1,5.29,1,0,0,0,0,0,1,5.29,1,0,0,0,0,0,Partidos
José Andrés Martínez,CC,ve Venezuela,29,1994,4.0,10,2.51,8,0,1,0,0,1,1,0.25,1,0,0,0,0,0,Partidos
Wilker Ángel,DF,ve Venezuela,30,1993,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Michail Antonio,DL,jm Jamaica,33,1990,2.6,6,2.30,2,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
Uriel Antuna,"DL,CC",mx Mexico,26,1997,1.9,5,2.60,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jon Aramburu,DF,ve Venezuela,21,2002,2.9,4,1.38,3,0,0,0,1,0,3,1.04,2,0,0,0,1,0,Partidos
Guilherme Arana,DF,br Brazil,26,1997,2.0,2,1.00,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Maximiliano Araújo,"DL,DF",uy Uruguay,23,2000,5.0,16,3.23,9,0,2,2,3,0,3,0.61,1,0,0,1,1,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Miguel Araujo,DF,pe Peru,29,1994,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Ronald Araújo,DF,uy Uruguay,24,1999,2.9,3,1.05,2,0,0,1,0,0,2,0.70,1,0,0,1,0,0,Partidos
Alex Arce,DL,py Paraguay,28,1995,1.7,4,2.40,3,0,0,0,1,0,1,0.60,1,0,0,0,0,0,Partidos
Gabriel Arias,PO,cl Chile,36,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jhon Arias,CC,co Colombia,26,1997,5.4,11,2.05,6,2,0,0,3,0,3,0.56,1,1,0,0,1,0,Partidos
Santiago Arias,DF,co Colombia,32,1992,2.0,7,4.12,5,1,0,0,1,0,1,0.59,0,0,0,0,1,0,Partidos
Gerardo Arteaga,DF,mx Mexico,25,1998,3.0,3,1.00,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Yaser Asprilla,DL,co Colombia,20,2003,0.2,2,9.47,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Abdiel Ayarza,CC,pa Panama,31,1992,0.7,4,5.71,2,0,1,1,0,0,2,2.86,1,0,1,0,0,0,Partidos
Theo Bair,DL,ca Canada,24,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Fabián Balbuena,DF,py Paraguay,32,1991,3.0,3,1.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Folarin Balogun,DL,us United States,22,2001,1.9,3,1.54,1,0,0,1,1,0,1,0.51,1,0,0,0,0,0,Partidos
Adam Bareiro,DL,py Paraguay,27,1996,0.8,1,1.20,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Jon Bell,DF,jm Jamaica,26,1997,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Eduard Bello,"DL,CC",ve Venezuela,28,1995,3.2,6,1.87,5,1,0,0,0,0,1,0.31,0,1,0,0,0,0,Partidos
Rodrigo Bentancur,CC,uy Uruguay,26,1997,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Di'Shon Bernard,DF,jm Jamaica,23,2000,1.2,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
César Blackman,"CC,DF",pa Panama,25,1998,2.2,8,3.71,4,0,2,2,0,0,2,0.93,0,0,1,1,0,0,Partidos
Damián Bobadilla,"CC,DL",py Paraguay,22,2001,2.2,7,3.20,6,0,0,0,1,0,1,0.46,1,0,0,0,0,0,Partidos
Marcos Bolados,"DL,CC",cl Chile,27,1996,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Moïse Bombito,DF,ca Canada,23,2000,6.0,4,0.67,3,0,0,1,0,0,1,0.17,0,0,0,1,0,0,Partidos
Miguel Borja,DL,co Colombia,31,1993,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Rafael Borré,DL,co Colombia,28,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alejandro Bran,CC,cr Costa Rica,22,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Claudio Bravo,PO,cl Chile,40,1983,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Jefferson Brenes,CC,cr Costa Rica,26,1997,1.8,1,0.55,1,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Partidos
Ben Brereton,DL,cl Chile,24,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Tajon Buchanan,"CC,DL",ca Canada,24,1999,1.1,2,1.84,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Hernesto Caballero,CC,py Paraguay,32,1991,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Sebastián Cáceres,DF,uy Uruguay,24,1999,2.9,3,1.05,1,0,0,2,0,0,1,0.35,0,0,0,1,0,0,Partidos
Jhonder Cádiz,DL,ve Venezuela,28,1995,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jordy Caicedo,"DL,CC",ec Ecuador,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Moisés Caicedo,CC,ec Ecuador,22,2001,4.0,15,3.75,9,4,0,1,0,1,2,0.50,2,0,0,0,0,0,Partidos
Alexander Callens,DF,pe Peru,31,1992,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Francisco Calvo,DF,cr Costa Rica,31,1992,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Joel Campbell,"CC,DL",cr Costa Rica,31,1992,1.5,1,0.68,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Agustín Canobbio,CC,uy Uruguay,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
