Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Brenden Aaronson,DL,us United States,23,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Luis Abram,DF,pe Peru,27,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Marcos Acuña,DF,ar Argentina,32,1991,1.1,0,1,0,0.0,0.94,0.00,0.00,0,15.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Tyler Adams,CC,us United States,24,1999,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Luis Advíncula,DF,pe Peru,33,1990,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Brandon Aguilera,CC,cr Costa Rica,20,2003,2.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Ali Ahmed,"DL,DF",ca Canada,23,2000,1.5,0,1,0,0.0,0.69,0.00,0.00,0,16.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Josimar Alcocer,"DL,CC",cr Costa Rica,19,2004,1.0,1,1,1,100.0,0.98,0.98,1.00,1.00,31.9,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Partidos
Omar Alderete,DF,py Paraguay,27,1996,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,30.7,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Partidos
Carmelo Algarañaz,DL,bo Bolivia,28,1996,2.2,0,2,1,50.0,0.92,0.46,0.00,0.00,40.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Partidos
Alisson,PO,br Brazil,31,1992,4.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Miguel Almirón,DL,py Paraguay,29,1994,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,29.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Roberto Alvarado,DL,mx Mexico,25,1998,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Edson Álvarez,CC,mx Mexico,26,1997,0.3,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Julián Álvarez,DL,ar Argentina,24,2000,3.8,2,9,5,55.6,2.34,1.30,0.22,0.40,20.5,0,0,0,2.0,2.0,0.22,0.0,0.0,Partidos
