Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Brenden Aaronson,DL,us United States,23,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Abram,DF,pe Peru,27,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Marcos Acuña,DF,ar Argentina,32,1991,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Tyler Adams,CC,us United States,24,1999,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Advíncula,DF,pe Peru,33,1990,1,1,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Brandon Aguilera,CC,cr Costa Rica,20,2003,3,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ali Ahmed,"DL,DF",ca Canada,23,2000,3,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,4,10,14,0.00,0.00,0.00,0.00,0.00,0.02,0.69,0.71,0.02,0.71,Partidos
Josimar Alcocer,"DL,CC",cr Costa Rica,19,2004,2,1,92,1.0,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.98,0.00,0.98,0.98,0.98,0.02,0.00,0.02,0.02,0.02,Partidos
Omar Alderete,DF,py Paraguay,27,1996,3,3,270,3.0,1,0,1,1,0,0,1,0,0.1,0.1,0.2,0.2,6,16,0,0.33,0.00,0.33,0.33,0.33,0.02,0.06,0.08,0.02,0.08,Partidos
Carmelo Algarañaz,DL,bo Bolivia,28,1996,3,2,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,0,5,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Alisson,PO,br Brazil,31,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Miguel Almirón,DL,py Paraguay,29,1994,3,3,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,5,4,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidos
Roberto Alvarado,DL,mx Mexico,25,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Edson Álvarez,CC,mx Mexico,26,1997,1,1,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Julián Álvarez,DL,ar Argentina,24,2000,5,4,346,3.8,2,0,2,2,0,0,0,0,2.0,2.0,0.0,2.0,2,6,15,0.52,0.00,0.52,0.52,0.52,0.52,0.00,0.52,0.52,0.52,Partidos
Michael Amir Murillo,DF,pa Panama,27,1996,4,4,315,3.5,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,5,15,18,0.29,0.00,0.29,0.29,0.29,0.08,0.01,0.09,0.08,0.09,Partidos
Karoy Anderson,CC,jm Jamaica,19,2004,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
Kervin Andrade,CC,ve Venezuela,18,2005,1,0,17,0.2,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,2,0,0.00,5.29,5.29,0.00,5.29,0.00,2.84,2.84,0.00,2.84,Partidos
José Andrés Martínez,CC,ve Venezuela,29,1994,4,4,359,4.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,2,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Partidos
